label	column_type	phase	case	iteration	wall_ms	server_ms	rows	bytes	result	result_sha256
v1_release	variant	query	deep_path	1	67.813	-	10000000	4807782770	9546110	2c8490f7c140b583c04d8fe2c18914af7a048ee3e3310ed880137cf7c0cfb35f
v1_release	variant	query	deep_path	2	70.028	-	10000000	4807782770	9546110	2c8490f7c140b583c04d8fe2c18914af7a048ee3e3310ed880137cf7c0cfb35f
v1_release	variant	query	deep_path	3	67.193	-	10000000	4807782770	9546110	2c8490f7c140b583c04d8fe2c18914af7a048ee3e3310ed880137cf7c0cfb35f
v1_release	variant	query	deep_path	4	70.882	-	10000000	4807782770	9546110	2c8490f7c140b583c04d8fe2c18914af7a048ee3e3310ed880137cf7c0cfb35f
v1_release	variant	query	deep_path	5	66.808	-	10000000	4807782770	9546110	2c8490f7c140b583c04d8fe2c18914af7a048ee3e3310ed880137cf7c0cfb35f
v1_release	variant	query	path_group	1	78.687	-	10000000	4807782770	15	e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb
v1_release	variant	query	path_group	2	70.050	-	10000000	4807782770	15	e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb
v1_release	variant	query	path_group	3	70.986	-	10000000	4807782770	15	e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb
v1_release	variant	query	path_group	4	80.513	-	10000000	4807782770	15	e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb
v1_release	variant	query	path_group	5	68.521	-	10000000	4807782770	15	e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb
v2_jsonb_control	jsonb	load	stream_load	1	18840.227	18811	10000000	4807782770	Success	-
v2_jsonb_control	jsonb	load	stream_load	2	18953.119	18938	10000000	4807782770	Success	-
v2_jsonb_control	jsonb	load	stream_load	3	19077.100	19058	10000000	4807782770	Success	-
v2_jsonb_control	jsonb	query	root	1	423.009	-	10000000	4807782770	4797090470	54738165eadb28017d85adf6bab864a58f2948f6dd61b19a6036fc700e846032
v2_jsonb_control	jsonb	query	root	2	406.316	-	10000000	4807782770	4797090470	54738165eadb28017d85adf6bab864a58f2948f6dd61b19a6036fc700e846032
v2_jsonb_control	jsonb	query	root	3	403.998	-	10000000	4807782770	4797090470	54738165eadb28017d85adf6bab864a58f2948f6dd61b19a6036fc700e846032
v2_jsonb_control	jsonb	query	root	4	402.092	-	10000000	4807782770	4797090470	54738165eadb28017d85adf6bab864a58f2948f6dd61b19a6036fc700e846032
v2_jsonb_control	jsonb	query	root	5	405.551	-	10000000	4807782770	4797090470	54738165eadb28017d85adf6bab864a58f2948f6dd61b19a6036fc700e846032
v2_jsonb_control	jsonb	query	shallow_path	1	308.277	-	10000000	4807782770	9946720	0ccf6a23e665bc15f1ca416fb68b33e84c8f787ca7ba2978e74420aa2d043ef1
v2_jsonb_control	jsonb	query	shallow_path	2	276.525	-	10000000	4807782770	9946720	0ccf6a23e665bc15f1ca416fb68b33e84c8f787ca7ba2978e74420aa2d043ef1
v2_jsonb_control	jsonb	query	shallow_path	3	279.872	-	10000000	4807782770	9946720	0ccf6a23e665bc15f1ca416fb68b33e84c8f787ca7ba2978e74420aa2d043ef1
