label	column_type	phase	case	iteration	wall_ms	server_ms	rows	bytes	result	result_sha256
v1_release	variant	query	path_group	3	45.024	-	1000000	480778277	15	e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb
v1_release	variant	query	path_group	4	43.565	-	1000000	480778277	15	e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb
v1_release	variant	query	path_group	5	44.043	-	1000000	480778277	15	e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb
v2_jsonb_control	jsonb	load	stream_load	1	2104.851	2068	1000000	480778277	Success	-
v2_jsonb_control	jsonb	load	stream_load	2	2047.799	2030	1000000	480778277	Success	-
v2_jsonb_control	jsonb	load	stream_load	3	2056.264	2039	1000000	480778277	Success	-
v2_jsonb_control	jsonb	query	root	1	120.552	-	1000000	480778277	479709047	e048e37e7afd1a51b7b608a7babf71bedd519d0cd91a40884157b27043acd1b8
v2_jsonb_control	jsonb	query	root	2	116.856	-	1000000	480778277	479709047	e048e37e7afd1a51b7b608a7babf71bedd519d0cd91a40884157b27043acd1b8
v2_jsonb_control	jsonb	query	root	3	106.153	-	1000000	480778277	479709047	e048e37e7afd1a51b7b608a7babf71bedd519d0cd91a40884157b27043acd1b8
v2_jsonb_control	jsonb	query	root	4	109.698	-	1000000	480778277	479709047	e048e37e7afd1a51b7b608a7babf71bedd519d0cd91a40884157b27043acd1b8
v2_jsonb_control	jsonb	query	root	5	103.226	-	1000000	480778277	479709047	e048e37e7afd1a51b7b608a7babf71bedd519d0cd91a40884157b27043acd1b8
v2_jsonb_control	jsonb	query	shallow_path	1	71.653	-	1000000	480778277	994672	09764a68a3eeedde8388440a24bc2367a1f4c29d61f27af681caee28426e8545
v2_jsonb_control	jsonb	query	shallow_path	2	72.540	-	1000000	480778277	994672	09764a68a3eeedde8388440a24bc2367a1f4c29d61f27af681caee28426e8545
v2_jsonb_control	jsonb	query	shallow_path	3	71.354	-	1000000	480778277	994672	09764a68a3eeedde8388440a24bc2367a1f4c29d61f27af681caee28426e8545
v2_jsonb_control	jsonb	query	shallow_path	4	71.259	-	1000000	480778277	994672	09764a68a3eeedde8388440a24bc2367a1f4c29d61f27af681caee28426e8545
v2_jsonb_control	jsonb	query	shallow_path	5	70.425	-	1000000	480778277	994672	09764a68a3eeedde8388440a24bc2367a1f4c29d61f27af681caee28426e8545
v2_jsonb_control	jsonb	query	deep_path	1	75.305	-	1000000	480778277	954611	253edf303de1b8d9ca69d58f3e45e94f916b1f664b030c67d90d0982580d6dc8
v2_jsonb_control	jsonb	query	deep_path	2	78.639	-	1000000	480778277	954611	253edf303de1b8d9ca69d58f3e45e94f916b1f664b030c67d90d0982580d6dc8
v2_jsonb_control	jsonb	query	deep_path	3	72.692	-	1000000	480778277	954611	253edf303de1b8d9ca69d58f3e45e94f916b1f664b030c67d90d0982580d6dc8
v2_jsonb_control	jsonb	query	deep_path	4	77.543	-	1000000	480778277	954611	253edf303de1b8d9ca69d58f3e45e94f916b1f664b030c67d90d0982580d6dc8
v2_jsonb_control	jsonb	query	deep_path	5	77.850	-	1000000	480778277	954611	253edf303de1b8d9ca69d58f3e45e94f916b1f664b030c67d90d0982580d6dc8
v2_jsonb_control	jsonb	query	path_group	1	78.587	-	1000000	480778277	15	e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb
v2_jsonb_control	jsonb	query	path_group	2	79.020	-	1000000	480778277	15	e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb
v2_jsonb_control	jsonb	query	path_group	3	74.790	-	1000000	480778277	15	e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb
v2_jsonb_control	jsonb	query	path_group	4	76.506	-	1000000	480778277	15	e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb
v2_jsonb_control	jsonb	query	path_group	5	81.489	-	1000000	480778277	15	e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb
v2_release	variant	load	stream_load	1	6528.858	6511	1000000	480778277	Success	-
v2_release	variant	load	stream_load	2	6519.048	6502	1000000	480778277	Success	-
v2_release	variant	load	stream_load	3	6589.406	6572	1000000	480778277	Success	-
v2_release	variant	query	root	1	502.924	-	1000000	480778277	479707271	5afb931d457e461f3970e32ab47deedbe5d3085d14013dbf9ccbd8ba9e8bbe28
v2_release	variant	query	root	2	472.615	-	1000000	480778277	479707271	5afb931d457e461f3970e32ab47deedbe5d3085d14013dbf9ccbd8ba9e8bbe28
v2_release	variant	query	root	3	488.120	-	1000000	480778277	479707271	5afb931d457e461f3970e32ab47deedbe5d3085d14013dbf9ccbd8ba9e8bbe28
v2_release	variant	query	root	4	471.855	-	1000000	480778277	479707271	5afb931d457e461f3970e32ab47deedbe5d3085d14013dbf9ccbd8ba9e8bbe28
v2_release	variant	query	root	5	489.565	-	1000000	480778277	479707271	5afb931d457e461f3970e32ab47deedbe5d3085d14013dbf9ccbd8ba9e8bbe28
v2_release	variant	query	shallow_path	1	54.990	-	1000000	480778277	994672	09764a68a3eeedde8388440a24bc2367a1f4c29d61f27af681caee28426e8545
v2_release	variant	query	shallow_path	2	59.266	-	1000000	480778277	994672	09764a68a3eeedde8388440a24bc2367a1f4c29d61f27af681caee28426e8545
v2_release	variant	query	shallow_path	3	66.416	-	1000000	480778277	994672	09764a68a3eeedde8388440a24bc2367a1f4c29d61f27af681caee28426e8545
v2_release	variant	query	shallow_path	4	62.780	-	1000000	480778277	994672	09764a68a3eeedde8388440a24bc2367a1f4c29d61f27af681caee28426e8545
v2_release	variant	query	shallow_path	5	57.851	-	1000000	480778277	994672	09764a68a3eeedde8388440a24bc2367a1f4c29d61f27af681caee28426e8545
v2_release	variant	query	deep_path	1	55.276	-	1000000	480778277	954611	253edf303de1b8d9ca69d58f3e45e94f916b1f664b030c67d90d0982580d6dc8
v2_release	variant	query	deep_path	2	62.651	-	1000000	480778277	954611	253edf303de1b8d9ca69d58f3e45e94f916b1f664b030c67d90d0982580d6dc8
v2_release	variant	query	deep_path	3	57.998	-	1000000	480778277	954611	253edf303de1b8d9ca69d58f3e45e94f916b1f664b030c67d90d0982580d6dc8
v2_release	variant	query	deep_path	4	57.994	-	1000000	480778277	954611	253edf303de1b8d9ca69d58f3e45e94f916b1f664b030c67d90d0982580d6dc8
v2_release	variant	query	deep_path	5	59.653	-	1000000	480778277	954611	253edf303de1b8d9ca69d58f3e45e94f916b1f664b030c67d90d0982580d6dc8
v2_release	variant	query	path_group	1	61.032	-	1000000	480778277	15	e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb
v2_release	variant	query	path_group	2	63.182	-	1000000	480778277	15	e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb
v2_release	variant	query	path_group	3	69.838	-	1000000	480778277	15	e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb
v2_release	variant	query	path_group	4	60.974	-	1000000	480778277	15	e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb
v2_release	variant	query	path_group	5	61.386	-	1000000	480778277	15	e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb
